architecture,architecture_label,stratum,distance_mode,n,probe_count,mean_core_ms,p50_core_ms,p95_core_ms,max_core_ms,mean_total_ms,p95_total_ms,mean_wall_ms,p95_wall_ms,mean_candidate_way_ids,mean_scored_rows,artifact_path
S3,SQLite/RTree,same_ref_parallel,hybrid,2,1,19.370,19.370,19.650,19.650,18.380,18.550,48.269,48.366,1271.00,1271.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,same_ref_parallel,polyline,2,1,27.150,27.150,27.150,27.150,22.315,22.350,51.873,52.261,1271.00,1271.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,tunnel_portal,bbox,2,1,19.680,19.680,19.790,19.790,20.205,20.310,50.571,50.793,1660.00,1660.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,tunnel_portal,hybrid,2,1,22.180,22.180,22.230,22.230,21.520,21.580,51.141,51.229,1660.00,1660.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,tunnel_portal,polyline,2,1,33.475,33.475,33.610,33.610,27.190,27.250,57.416,57.498,1660.00,1660.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_dense_low_gps,bbox,2,1,12.620,12.620,12.630,12.630,13.035,13.050,42.630,42.947,686.00,686.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_dense_low_gps,hybrid,2,1,14.645,14.645,14.790,14.790,13.920,14.050,43.515,43.830,686.00,686.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_dense_low_gps,polyline,2,1,20.750,20.750,21.930,21.930,17.560,18.460,48.032,49.385,686.00,686.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_same_name_parallel,bbox,2,1,12.845,12.845,12.960,12.960,13.275,13.390,43.368,43.702,634.00,634.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_same_name_parallel,hybrid,2,1,14.850,14.850,15.040,15.040,13.970,14.170,43.448,43.762,634.00,634.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_same_name_parallel,polyline,2,1,19.035,19.035,19.150,19.150,16.295,16.300,45.544,45.900,634.00,634.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_transition,bbox,2,1,12.305,12.305,12.620,12.620,12.725,13.040,42.539,42.580,629.00,629.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_transition,hybrid,2,1,14.925,14.925,15.140,15.140,14.070,14.260,43.889,43.906,629.00,629.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
S3,SQLite/RTree,urban_transition,polyline,2,1,18.960,18.960,19.070,19.070,16.155,16.210,45.714,45.725,629.00,629.00,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite
