architecture,architecture_label,artifact_path,probe_id,stratum,region,lat,lon,heading,distance_mode,repeat,status,error,query_core_ms,reported_total_ms,host_wall_ms,load_index_ms,load_candidates_ms,city_resolve_ms,polyline_refine_ms,score_and_rank_ms,candidate_way_ids,matched_way_rows,scored_rows,effective_speed_kmh,city_name
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,polyline,0,ok,,133.10000000000002,317.97,364.631,191.52,5.14,0.08,63.07,64.81,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,polyline,1,ok,,128.1,316.18,362.96,191.96,5.23,0.08,60.53,62.26,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,bbox,0,ok,,6.92,258.09,302.506,194.2,4.77,0.07,0.0,2.08,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,bbox,1,ok,,6.960000000000001,257.57,300.838,191.71,4.78,0.08,0.0,2.1,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,hybrid,0,ok,,123.58,313.82,360.763,191.63,4.75,0.08,58.37,60.38,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,hybrid,1,ok,,120.48,309.31,356.984,186.78,4.78,0.07,56.82,58.81,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,polyline,0,ok,,132.98000000000002,316.79,362.958,191.54,4.79,0.09,62.98,65.12,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,polyline,1,ok,,132.1,312.94,359.977,185.29,4.59,0.07,62.66,64.78,752,752,752,50,Gernsbach
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,bbox,0,ok,,6.919999999999999,248.12,292.67,184.72,4.81,0.06,0.0,2.05,752,752,752,50,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,bbox,1,ok,,6.930000000000001,255.5,299.394,190.56,4.69,0.07,0.0,2.17,752,752,752,50,Gaggenau
