device,dataset_kind,db_size_bytes,has_way_tile_table,has_ways_rtree_table,probe_id,stratum,region,variant,effective_variant,distance_mode,avg_ms,p50_ms,min_ms,max_ms
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v1,v1,bbox,148.9590418,149.056042,145.455,152.151833
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v1,v1,hybrid,158.4887334,155.082792,151.829958,169.5615
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v1,v1,polyline,166.7937084,166.733667,163.755875,168.471125
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v2,v2,bbox,5.1572834,5.027834,4.923375,5.528833
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v2,v2,hybrid,10.9426918,10.803042,10.691167,11.260792
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v2,v2,polyline,20.554233200000002,20.501583,20.172792,21.112667
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v3,v1,bbox,147.2020418,149.154417,142.731959,150.110334
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v3,v1,hybrid,148.0414918,147.866708,147.070875,149.103334
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v3,v1,polyline,179.6941,162.190125,158.331292,238.74475
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v4,v2,bbox,4.8356084,4.607334,4.528458,5.690542
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v4,v2,hybrid,10.7212334,10.689125,10.498458,10.9535
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,v4,v2,polyline,22.4881754,21.724334,21.284,26.018834
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,v1,v1,bbox,129.2189586,129.453834,128.114167,129.935542
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,v1,v1,hybrid,136.3226338,136.498917,135.244834,137.145542
Pixel_API_36,baden_wuerttemberg_v4,502030336,true,false,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,v1,v1,polyline,148.2117254,144.698792,143.848375,160.340917
