device,dataset_kind,db_path,db_size_bytes,has_way_tile_table,probe_id,stratum,region,lat,lon,variant,distance_mode,avg_ms,p50_ms,min_ms,max_ms,generated_at_utc
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v3,polycontainment,1.1,1.08,1.05,1.17,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v3,polyline,7.48,7.42,7.32,7.68,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v4,bbox,15.09,5.99,5.88,51.59,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v4,hybrid,8.85,8.85,8.6,9.23,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v4,polycontainment,1.25,1.12,1.1,1.82,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,v4,polyline,11.06,11.03,10.79,11.28,2026-05-02T10:57:54Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v1,bbox,48.6,47.12,42.86,62.25,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v1,hybrid,48.23,48.54,45.3,52.32,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v1,polycontainment,1.1,1.05,1.05,1.23,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v1,polyline,48.46,47.85,47.4,50.02,2026-05-02T10:57:55Z
