architecture,architecture_label,update_unit,days,mean_changed_ways_per_day,median_changed_ways_per_day,median_speed_tag_changes_per_day,median_touched_units_per_day,median_touched_units_per_1000_changed_ways,median_apply_ms_per_day,median_apply_ms_per_1000_touched_units,median_payload_mb_per_day,median_patch_payload_kb,median_decompressed_patch_kb,median_validation_ms,median_decompression_ms,payload_status,payload_source,notes
S1,global index files,invalidated index partitions,30,60972.4,61076.5,4643.0,6728.0,109.550,,,915.629,,,,,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
S2,content-addressed tile packs,invalidated tile packs,30,60972.4,61076.5,4643.0,2683.5,44.297,,,57.239,,,,,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
S3,SQLite/RTree,SQL rows touched,30,60972.4,61076.5,4643.0,131253.0,2212.378,1026.153,7.692,,50.182,356.796,0.0187,0.5520,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,Host-side rollback simulation of exact SQL patch apply.
S4,SQLite/RTree plus tile prefilter,SQL rows touched,30,60972.4,61076.5,4643.0,177937.5,3005.581,1358.823,7.490,,50.182,356.796,0.0187,0.5520,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,Host-side rollback simulation of exact SQL patch apply.
