date,architecture,architecture_label,update_unit,changed_way_count,maxspeed_tag_changes,touched_units,touched_units_per_1000_changed_ways,apply_ms,apply_ms_per_1000_touched_units,payload_bytes,payload_mb,payload_observed,payload_status,payload_source,source,notes
2026-01-22,S1,global index files,invalidated index partitions,59360,4212,7756,130.660,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-22,S2,content-addressed tile packs,invalidated tile packs,59360,4212,2755,46.412,,,58764150,58.764150,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-22,S3,SQLite/RTree,SQL rows touched,59360,4212,127827,2153.420,858.284,6.714,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-22,S4,SQLite/RTree plus tile prefilter,SQL rows touched,59360,4212,173173,2917.335,1103.447,6.372,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-23,S1,global index files,invalidated index partitions,62133,4148,6116,98.434,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-23,S2,content-addressed tile packs,invalidated tile packs,62133,4148,2482,39.947,,,52941060,52.941060,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-23,S3,SQLite/RTree,SQL rows touched,62133,4148,129696,2087.393,912.843,7.038,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-23,S4,SQLite/RTree plus tile prefilter,SQL rows touched,62133,4148,175639,2826.823,1199.883,6.832,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-24,S1,global index files,invalidated index partitions,62196,4556,5923,95.231,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-24,S2,content-addressed tile packs,invalidated tile packs,62196,4556,2501,40.212,,,53346330,53.346330,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-24,S3,SQLite/RTree,SQL rows touched,62196,4556,126570,2035.018,995.763,7.867,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-24,S4,SQLite/RTree plus tile prefilter,SQL rows touched,62196,4556,171604,2759.084,1268.034,7.389,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-25,S1,global index files,invalidated index partitions,63064,5214,6603,104.703,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-25,S2,content-addressed tile packs,invalidated tile packs,63064,5214,2768,43.892,,,59041440,59.041440,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-25,S3,SQLite/RTree,SQL rows touched,63064,5214,131727,2088.783,1027.282,7.799,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-25,S4,SQLite/RTree plus tile prefilter,SQL rows touched,63064,5214,178967,2837.863,1400.943,7.828,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-26,S1,global index files,invalidated index partitions,67747,5037,6649,98.145,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-26,S2,content-addressed tile packs,invalidated tile packs,67747,5037,2773,40.932,,,59148090,59.148090,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-26,S3,SQLite/RTree,SQL rows touched,67747,5037,148143,2186.709,1149.023,7.756,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-26,S4,SQLite/RTree plus tile prefilter,SQL rows touched,67747,5037,200898,2965.415,1580.920,7.869,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-27,S1,global index files,invalidated index partitions,69793,4353,7092,101.615,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-27,S2,content-addressed tile packs,invalidated tile packs,69793,4353,2765,39.617,,,58977450,58.977450,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-27,S3,SQLite/RTree,SQL rows touched,69793,4353,155160,2223.146,1119.139,7.213,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-27,S4,SQLite/RTree plus tile prefilter,SQL rows touched,69793,4353,210165,3011.262,1559.550,7.421,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-28,S1,global index files,invalidated index partitions,65999,4596,6932,105.032,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-28,S2,content-addressed tile packs,invalidated tile packs,65999,4596,2713,41.107,,,57868290,57.868290,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-28,S3,SQLite/RTree,SQL rows touched,65999,4596,153966,2332.854,1102.858,7.163,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-28,S4,SQLite/RTree plus tile prefilter,SQL rows touched,65999,4596,208544,3159.805,1489.124,7.141,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-29,S1,global index files,invalidated index partitions,64731,4683,5895,91.069,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-29,S2,content-addressed tile packs,invalidated tile packs,64731,4683,2478,38.282,,,52855740,52.855740,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-29,S3,SQLite/RTree,SQL rows touched,64731,4683,151974,2347.778,1089.699,7.170,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-29,S4,SQLite/RTree plus tile prefilter,SQL rows touched,64731,4683,205633,3176.731,1435.856,6.983,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-30,S1,global index files,invalidated index partitions,62640,4603,6732,107.471,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
2026-01-30,S2,content-addressed tile packs,invalidated tile packs,62640,4603,2577,41.140,,,54967410,54.967410,estimated,estimated_from_reference_tilepack_median,mapdata/dist-v2/baden-wuerttemberg-bench/catalog.v2.json,mapdata/reports/deltas/daily-diff-analysis.csv,Tile invalidation proxy; replacement bytes are estimated from the available v2 tile-pack size distribution.
2026-01-30,S3,SQLite/RTree,SQL rows touched,62640,4603,142650,2277.299,1019.000,7.143,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-30,S4,SQLite/RTree plus tile prefilter,SQL rows touched,62640,4603,192949,3080.284,1323.559,6.860,,,false,sampled_sql_patch_payloads,mapdata/bench/karlsruhe_osc/*/v3_delta_manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Host-side rollback simulation of exact SQL patch apply.
2026-01-31,S1,global index files,invalidated index partitions,53963,4868,6916,128.162,,,915628973,915.628973,reference,observed_reference_full_replacement,mapdata/dist/baden-wuerttemberg-bench/manifest.json,mapdata/reports/deltas/daily-diff-analysis.csv,Partition invalidation proxy; replacement bytes are a reference full-artifact replacement when a manifest is present.
