sample,region,source_diff_file,generation_mode,way_links_mode,changed_way_count,maxspeed_tag_events,patch_bytes,patch_mb,decompressed_patch_bytes,decompressed_patch_mb,sha256_validation_ms,sha256_validation_ok,zlib_decompression_ms,sql_statement_count,bytes_per_changed_way,bytes_per_maxspeed_event,sql_rows_in_patch_manifest
delta_base_geom8,karlsruhe-regbez,/Users/raphaelvolz/Github/youspeed.de/mapdata/bench/karlsruhe_osc/karlsruhe_2026-03-03_to_2026-03-04.osc.gz,exact_db_diff,disabled,1044,133,240,0.000240,346,0.000346,0.0047,true,0.0092,3,0.230,1.805,0
delta_base_geom8_3d,karlsruhe-regbez,/Users/raphaelvolz/Github/youspeed.de/mapdata/bench/karlsruhe_osc/karlsruhe_2026-03-03_to_2026-03-06.osc.gz,exact_db_diff,disabled,2558,330,50182,0.050182,356796,0.356796,0.0187,true,0.5520,2571,19.618,152.067,880
delta_waylinks,karlsruhe-regbez,/Users/raphaelvolz/Github/youspeed.de/mapdata/bench/karlsruhe_osc/karlsruhe_2026-03-03_to_2026-03-04.osc.gz,exact_db_diff,enabled,1044,133,240,0.000240,346,0.000346,0.0012,true,0.0047,3,0.230,1.805,0
delta_waylinks_3d,karlsruhe-regbez,/Users/raphaelvolz/Github/youspeed.de/mapdata/bench/karlsruhe_osc/karlsruhe_2026-03-03_to_2026-03-06.osc.gz,exact_db_diff,enabled,2558,330,63872,0.063872,569720,0.569720,0.0230,true,0.7276,4355,24.970,193.552,3554
delta_waylinks_3d_optimized,karlsruhe-regbez,/Users/raphaelvolz/Github/youspeed.de/mapdata/bench/karlsruhe_osc/karlsruhe_2026-03-03_to_2026-03-06.osc.gz,exact_db_diff,enabled,2558,330,62037,0.062037,530597,0.530597,0.0224,true,0.6823,3961,24.252,187.991,3554
